[info] | 28-11-2023 03:44:41 => ************** Initializing workers **************
[info] | 28-11-2023 03:44:42 => Database connected | PID - 31868
[info] | 28-11-2023 03:44:56 => Worker server ON | PID - 27944
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 10776
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 19972
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 28376
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 12560
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 11104
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 24496
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 32408
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 32348
[info] | 28-11-2023 03:44:57 => Database connected | PID - 27944
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 29932
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 24264
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 22256
[info] | 28-11-2023 03:44:58 => Database connected | PID - 10776
[info] | 28-11-2023 03:44:57 => Worker server ON | PID - 14440
[info] | 28-11-2023 03:44:58 => Worker server ON | PID - 14620
[info] | 28-11-2023 03:44:58 => Worker server ON | PID - 3460
[info] | 28-11-2023 03:44:58 => Worker server ON | PID - 12600
[info] | 28-11-2023 03:44:58 => Database connected | PID - 19972
[info] | 28-11-2023 03:44:58 => Database connected | PID - 24496
[info] | 28-11-2023 03:44:58 => Database connected | PID - 32408
[info] | 28-11-2023 03:44:58 => Database connected | PID - 12560
[info] | 28-11-2023 03:44:58 => Database connected | PID - 28376
[info] | 28-11-2023 03:44:58 => Database connected | PID - 11104
[info] | 28-11-2023 03:44:59 => Database connected | PID - 29932
[info] | 28-11-2023 03:44:59 => Database connected | PID - 24264
[info] | 28-11-2023 03:45:00 => Database connected | PID - 12600
[info] | 28-11-2023 03:45:00 => Database connected | PID - 14440
[info] | 28-11-2023 03:45:00 => Database connected | PID - 32348
[info] | 28-11-2023 03:45:00 => Database connected | PID - 22256
[info] | 28-11-2023 03:45:00 => Database connected | PID - 14620
[info] | 28-11-2023 03:45:00 => Database connected | PID - 3460
[info] | 28-11-2023 03:45:34 => MASTER | PID - 18708 | CPU (cores) :: 16 | Server on port :: 8080
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 30556
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 32076
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 5656
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 5572
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 11940
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 20332
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 18992
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 4012
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 11452
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 2784
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 22800
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 30316
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 8492
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 24328
[info] | 28-11-2023 03:45:34 => NEW WORKER | PID - 6820
[info] | 28-11-2023 03:45:34 => ************** All workers deployed **************
[info] | 28-11-2023 03:45:34 => ************** Initializing workers **************
[info] | 28-11-2023 03:45:35 => Database connected | PID - 18708
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 18992
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 11940
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 5656
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 30556
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 32076
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 4012
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 1440
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 20332
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 8492
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 2784
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 11452
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 5572
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 22800
[info] | 28-11-2023 03:45:49 => Worker server ON | PID - 6820
[info] | 28-11-2023 03:45:50 => Worker server ON | PID - 30316
[info] | 28-11-2023 03:45:50 => Worker server ON | PID - 24328
[info] | 28-11-2023 03:45:50 => Database connected | PID - 18992
[info] | 28-11-2023 03:45:50 => Database connected | PID - 11940
[info] | 28-11-2023 03:45:50 => Database connected | PID - 4012
[info] | 28-11-2023 03:45:50 => Database connected | PID - 30556
[info] | 28-11-2023 03:45:50 => Database connected | PID - 5656
[info] | 28-11-2023 03:45:51 => Database connected | PID - 32076
[info] | 28-11-2023 03:45:51 => Database connected | PID - 1440
[info] | 28-11-2023 03:45:51 => Database connected | PID - 2784
[info] | 28-11-2023 03:45:51 => Database connected | PID - 11452
[info] | 28-11-2023 03:45:51 => Database connected | PID - 8492
[info] | 28-11-2023 03:45:51 => Database connected | PID - 20332
[info] | 28-11-2023 03:45:51 => Database connected | PID - 24328
[info] | 28-11-2023 03:45:51 => Database connected | PID - 22800
[info] | 28-11-2023 03:45:52 => Database connected | PID - 30316
[info] | 28-11-2023 03:45:52 => Database connected | PID - 6820
[info] | 28-11-2023 03:45:52 => Database connected | PID - 5572
[info] | 28-11-2023 03:45:53 => Nuevo usuario creado.
[info] | 28-11-2023 03:46:08 => Nuevo usuario creado.
[info] | 28-11-2023 03:46:18 => Nuevo usuario creado.
[info] | 28-11-2023 03:47:12 => MASTER | PID - 27504 | CPU (cores) :: 16 | Server on port :: 8080
[info] | 28-11-2023 03:47:12 => NEW WORKER | PID - 6444
[info] | 28-11-2023 03:47:12 => NEW WORKER | PID - 18124
[info] | 28-11-2023 03:47:12 => NEW WORKER | PID - 25972
[info] | 28-11-2023 03:47:12 => NEW WORKER | PID - 11096
